sample_id,region_id,split,cube_path,label_path,metadata_path,time_quality_path
sample_001215,region_r007_c021,train,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001215/x_cube.npy,05_pseudo_labels/sam_refined/xinjiang_vvp_mmi_confidence_corrected/conservative_v1/sample_001215/pseudo_label.npy,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001215/metadata.json,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001215/time_quality.json
sample_001280,region_r007_c021,train,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001280/x_cube.npy,05_pseudo_labels/sam_refined/xinjiang_vvp_mmi_confidence_corrected/conservative_v1/sample_001280/pseudo_label.npy,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001280/metadata.json,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001280/time_quality.json
sample_001296,region_r007_c021,train,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001296/x_cube.npy,05_pseudo_labels/sam_refined/xinjiang_vvp_mmi_confidence_corrected/conservative_v1/sample_001296/pseudo_label.npy,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001296/metadata.json,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001296/time_quality.json
sample_001297,region_r007_c021,train,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001297/x_cube.npy,05_pseudo_labels/sam_refined/xinjiang_vvp_mmi_confidence_corrected/conservative_v1/sample_001297/pseudo_label.npy,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001297/metadata.json,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001297/time_quality.json
sample_001319,region_r007_c021,train,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001319/x_cube.npy,05_pseudo_labels/sam_refined/xinjiang_vvp_mmi_confidence_corrected/conservative_v1/sample_001319/pseudo_label.npy,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001319/metadata.json,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001319/time_quality.json
sample_001320,region_r007_c021,train,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001320/x_cube.npy,05_pseudo_labels/sam_refined/xinjiang_vvp_mmi_confidence_corrected/conservative_v1/sample_001320/pseudo_label.npy,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001320/metadata.json,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001320/time_quality.json
sample_001321,region_r007_c021,train,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001321/x_cube.npy,05_pseudo_labels/sam_refined/xinjiang_vvp_mmi_confidence_corrected/conservative_v1/sample_001321/pseudo_label.npy,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001321/metadata.json,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001321/time_quality.json
sample_001322,region_r007_c021,train,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001322/x_cube.npy,05_pseudo_labels/sam_refined/xinjiang_vvp_mmi_confidence_corrected/conservative_v1/sample_001322/pseudo_label.npy,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001322/metadata.json,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001322/time_quality.json
sample_001323,region_r007_c021,train,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001323/x_cube.npy,05_pseudo_labels/sam_refined/xinjiang_vvp_mmi_confidence_corrected/conservative_v1/sample_001323/pseudo_label.npy,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001323/metadata.json,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001323/time_quality.json
sample_001324,region_r007_c021,train,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001324/x_cube.npy,05_pseudo_labels/sam_refined/xinjiang_vvp_mmi_confidence_corrected/conservative_v1/sample_001324/pseudo_label.npy,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001324/metadata.json,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001324/time_quality.json
sample_001325,region_r007_c021,train,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001325/x_cube.npy,05_pseudo_labels/sam_refined/xinjiang_vvp_mmi_confidence_corrected/conservative_v1/sample_001325/pseudo_label.npy,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001325/metadata.json,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001325/time_quality.json
sample_001350,region_r007_c021,train,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001350/x_cube.npy,05_pseudo_labels/sam_refined/xinjiang_vvp_mmi_confidence_corrected/conservative_v1/sample_001350/pseudo_label.npy,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001350/metadata.json,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001350/time_quality.json
sample_001351,region_r007_c021,train,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001351/x_cube.npy,05_pseudo_labels/sam_refined/xinjiang_vvp_mmi_confidence_corrected/conservative_v1/sample_001351/pseudo_label.npy,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001351/metadata.json,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001351/time_quality.json
sample_001352,region_r007_c021,train,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001352/x_cube.npy,05_pseudo_labels/sam_refined/xinjiang_vvp_mmi_confidence_corrected/conservative_v1/sample_001352/pseudo_label.npy,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001352/metadata.json,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001352/time_quality.json
sample_001353,region_r007_c021,train,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001353/x_cube.npy,05_pseudo_labels/sam_refined/xinjiang_vvp_mmi_confidence_corrected/conservative_v1/sample_001353/pseudo_label.npy,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001353/metadata.json,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001353/time_quality.json
sample_001354,region_r007_c021,train,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001354/x_cube.npy,05_pseudo_labels/sam_refined/xinjiang_vvp_mmi_confidence_corrected/conservative_v1/sample_001354/pseudo_label.npy,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001354/metadata.json,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001354/time_quality.json
sample_001355,region_r007_c021,train,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001355/x_cube.npy,05_pseudo_labels/sam_refined/xinjiang_vvp_mmi_confidence_corrected/conservative_v1/sample_001355/pseudo_label.npy,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001355/metadata.json,03_processed_data/cubes/xinjiang_2021/cubes/2021/sample_001355/time_quality.json
